media;domain;country;region;language;overall
20 Minutos;20minutos.es;Spain;Western Europe;Spanish;70.75
3djuegos;3djuegos.com;Spain;Western Europe;Spanish;1.0
ABC;abc.es;Spain;Western Europe;Spanish;78.25
ABC de Sevilla;sevilla.abc.es;Spain;Western Europe;Spanish;68.25
Agencia Efe;efe.com;Spain;Western Europe;Spanish/English/Portuguese;55.75
Alerta;eldiarioalerta.com;Spain;Western Europe;Spanish;37.25
Alerta digital;alertadigital.com;Spain;Western Europe;Spanish;34.25
Aragón digital;aragondigital.es;Spain;Western Europe;Spanish;40.75
Atlántico;atlantico.net;Spain;Western Europe;Spanish;50.25
Cambio 16;cambio16.com;Spain;Western Europe;Spanish;37.25
Canarias 7;canarias7.es;Spain;Western Europe;Spanish;61.5
Canarias diario;canariasdiario.com;Spain;Western Europe;Spanish;20.0
Cantabria 24 horas;cantabria24horas.com;Spain;Western Europe;Spanish;29.5
Cantabria liberal;cantabrialiberal.com;Spain;Western Europe;Spanish;30.5
Capital Radio;capitalradio.es;Spain;Western Europe;Spanish;38.75
Catalunya press;catalunyapress.es;Spain;Western Europe;Spanish;38.5
Clm24;clm24.es;Spain;Western Europe;Spanish;35.5
Crónica balear;cronicabalear.es;Spain;Western Europe;Spanish;36.25
Crónica global;cronicaglobal.elespanol.com;Spain;Western Europe;Spanish;66.25
Crónica vasca;cronicavasca.com;Spain;Western Europe;Spanish;28.0
Ctxt;ctxt.es;Spain;Western Europe;Spanish;46.75
Cuarto Poder;cuartopoder.es;Spain;Western Europe;Spanish;35.25
DEIA;deia.eus;Spain;Western Europe;Spanish;61.0
Diari balear;diaribalear.es;Spain;Western Europe;Spanish;11.5
Diari de Tarragona;diaridetarragona.com;Spain;Western Europe;Spanish;55.0
Diario 16;diario16.com;Spain;Western Europe;Spanish;43.0
Diario Crítico;diariocritico.com;Spain;Western Europe;Spanish;48.5
Diario Independiente Digital;diarioindependientedigital.com;Spain;Western Europe;Spanish;9.0
Diario Qué;que.es;Spain;Western Europe;Spanish;52.0
Diario Ya;diarioya.es;Spain;Western Europe;Spanish;27.75
Diario de Almería;diariodealmeria.es;Spain;Western Europe;Spanish;51.0
Diario de Burgos;diariodeburgos.es;Spain;Western Europe;Spanish;52.0
Diario de Cádiz;diariodecadiz.es;Spain;Western Europe;Spanish;59.75
Diario de Córdoba;diariocordoba.com;Spain;Western Europe;Spanish;58.25
Diario de Jaén;diariojaen.es;Spain;Western Europe;Spanish;50.0
Diario de Mallorca;diariodemallorca.es;Spain;Western Europe;Spanish;61.75
Diario de Navarra;diariodenavarra.es;Spain;Western Europe;Spanish;54.0
Diario de Noticias;noticiasdenavarra.com;Spain;Western Europe;Spanish;59.25
Diario de Noticias de Álava;noticiasdealava.eus;Spain;Western Europe;Spanish;47.5
Diario de Pontevedra;diariodepontevedra.es;Spain;Western Europe;Spanish;51.25
Diario de Sevilla;diariodesevilla.es;Spain;Western Europe;Spanish;66.0
Diario de Teruel;diariodeteruel.es;Spain;Western Europe;Spanish;47.0
Diario de Valladolid;diariodevalladolid.elmundo.es;Spain;Western Europe;Spanish;53.0
Diario de ferrol;diariodeferrol.com;Spain;Western Europe;Spanish;43.75
