,media_url,n_urls,n_body_gpt,duration
1,https://www.larioja.com/,0,0,0.3
2,https://www.ideal.es/,1,0,0.8
3,https://www.diariodemallorca.es/,0,0,0.4
0,https://www.ultimahora.es/,0,0,0.2
1,https://www.lavanguardia.com/,2,0,1.4
2,https://www.laopinioncoruna.es/,2,0,2.8
3,https://www.huffingtonpost.es/,0,0,0.4
4,https://www.elplural.com/,0,0,0.3
5,https://www.elperiodicoextremadura.com/,1,0,1.9
6,https://www.abc.es/,2,0,1.5
0,https://www.lavozdigital.es/,0,0,0.9
1,https://www.europapress.es/,3,0,1.0
2,https://www.elespanol.com/,0,0,0.2
3,https://www.eldiario.es/,1,0,0.6
4,https://www.eldia.es/,1,0,3.1
5,https://elpais.com/,0,0,2.4
0,https://www.libertaddigital.com/,1,0,0.3
1,https://www.lasprovincias.es/,0,0,0.4
2,https://www.heraldo.es/,0,0,0.2
3,https://www.farodevigo.es/,7,0,2.1
4,https://www.elcorreo.com/,0,0,0.4
5,https://www.canarias7.es/,0,0,0.5
0,https://www.noticiasdenavarra.com/,3,0,1.4
1,https://www.laopiniondezamora.es/,1,0,0.9
2,https://www.elmundo.es/,0,0,0.2
3,https://www.eldiariomontanes.es/,2,0,1.3
4,https://www.diariosur.es/,0,0,0.3
5,https://efe.com/,0,0,1.0
0,https://www.levante-emv.com/,2,0,3.6
1,https://www.elnortedecastilla.es/,0,0,0.4
2,https://www.diariovasco.com/,0,0,0.2
3,https://okdiario.com/,0,0,0.6
0,https://www.laverdad.es/,2,0,1.4
1,https://www.elperiodicodearagon.com/,1,0,1.3
2,https://www.diariodesevilla.es/,0,0,0.2
3,https://www.diariodecadiz.es/,1,0,0.3
4,https://www.diariocordoba.com/,1,0,1.0
0,https://www.publico.es/,0,0,0.9
1,https://www.hoy.es/,0,0,0.2
2,https://www.elcorreogallego.es/,0,0,2.0
3,https://www.deia.eus/,0,0,1.3
4,https://www.20minutos.es/,0,0,0.4
5,https://sevilla.abc.es/,0,0,0.3
0,https://www.republica.com/,1,0,0.3
1,https://www.larazon.es/,1,0,0.3
2,https://www.laopiniondemalaga.es/,2,0,1.6
3,https://www.elperiodicomediterraneo.com/,4,0,3.0
4,https://lavozdegalicia.es/,0,0,0.2
0,https://www.lne.es/,4,0,3.0
1,https://www.lainformacion.com/,0,0,0.2
2,https://www.informacion.es/,3,0,1.5
3,https://www.elconfidencial.com/,0,0,0.4
4,https://www.elcomercio.es/,0,0,0.5
5,https://cronicaglobal.elespanol.com/,0,0,0.8
