;Media;Domain;Country;Region;Language;Global_rank;Overall
0;El País;elpais.com;Spain;Western Europe;Spanish;7.0;84.5
1;ABC;abc.es;Spain;Western Europe;Spanish;28.0;78.25
2;La Vanguardia;lavanguardia.com;Spain;Western Europe;Spanish/Catalan;43.0;76.75
3;El Español;elespanol.com;Spain;Western Europe;Spanish;43.0;76.75
4;El Mundo;elmundo.es;Spain;Western Europe;Spanish;60.0;74.75
5;El Periódico de Catalunya;elperiodico.com;Spain;Western Europe;Spanish;89.0;72.75
6;La Razón;larazon.es;Spain;Western Europe;Spanish;115.0;71.25
7;Europa Press;europapress.es;Spain;Western Europe;Spanish;115.0;71.25
8;20 Minutos;20minutos.es;Spain;Western Europe;Spanish;124.0;70.75
9;El Confidencial;elconfidencial.com;Spain;Western Europe;Spanish;151.0;69.25
10;elDiario.es;eldiario.es;Spain;Western Europe;Spanish;151.0;69.25
11;ABC de Sevilla;sevilla.abc.es;Spain;Western Europe;Spanish;178.0;68.25
12;La Voz de Galicia;lavozdegalicia.es;Spain;Western Europe;Spanish/Galician;211.0;67.5
13;Libertad Digital;libertaddigital.com;Spain;Western Europe;Spanish;211.0;67.5
14;Crónica global;cronicaglobal.elespanol.com;Spain;Western Europe;Spanish;253.0;66.25
15;El Correo Español;elcorreo.com;Spain;Western Europe;Spanish;261.0;66.0
16;SUR;diariosur.es;Spain;Western Europe;Spanish;261.0;66.0
17;Diario de Sevilla;diariodesevilla.es;Spain;Western Europe;Spanish;261.0;66.0
18;El Diario Vasco;diariovasco.com;Spain;Western Europe;Spanish/Basque;302.0;65.0
19;Huffington Post España;huffingtonpost.es;Spain;Western Europe;Spanish;319.0;64.75
20;Levante;levante-emv.com;Spain;Western Europe;Spanish;319.0;64.75
21;Las Provincias;lasprovincias.es;Spain;Western Europe;Spanish;331.0;64.25
22;La Verdad;laverdad.es;Spain;Western Europe;Spanish;331.0;64.25
23;Heraldo de Aragón;heraldo.es;Spain;Western Europe;Spanish;372.0;63.5
24;Faro de Vigo;farodevigo.es;Spain;Western Europe;Spanish;383.0;63.25
25;Ideal;ideal.es;Spain;Western Europe;Spanish;397.0;63.0
26;El Periódico de España;epe.es;Spain;Western Europe;Spanish;412.0;62.5
27;Publico;publico.es;Spain;Western Europe;Spanish;419.0;62.25
28;Diario de Mallorca;diariodemallorca.es;Spain;Western Europe;Spanish;451.0;61.75
29;Canarias 7;canarias7.es;Spain;Western Europe;Spanish;464.0;61.5
30;La Información;lainformacion.com;Spain;Western Europe;Spanish;464.0;61.5
31;OK Diario;okdiario.com;Spain;Western Europe;Spanish;464.0;61.5
32;Periodista Digital;periodistadigital.com;Spain;Western Europe;Spanish;464.0;61.5
33;DEIA;deia.eus;Spain;Western Europe;Spanish;494.0;61.0
34;El Comercio;elcomercio.es;Spain;Western Europe;Spanish;519.0;60.5
35;Hoy de Badajoz;hoy.es;Spain;Western Europe;Spanish;538.0;60.25
36;La Nueva España;lne.es;Spain;Western Europe;Spanish;538.0;60.25
37;Información;informacion.es;Spain;Western Europe;Spanish;564.0;59.75
38;El Diario Montañes;eldiariomontanes.es;Spain;Western Europe;Spanish;564.0;59.75
39;Diario de Cádiz;diariodecadiz.es;Spain;Western Europe;Spanish;564.0;59.75
40;La Rioja;larioja.com;Spain;Western Europe;Spanish;588.0;59.5
41;República;republica.com;Spain;Western Europe;Spanish;588.0;59.5
42;Diario de Noticias;noticiasdenavarra.com;Spain;Western Europe;Spanish;602.0;59.25
43;Última Hora;ultimahora.es;Spain;Western Europe;Spanish;602.0;59.25
44;El Plural;elplural.com;Spain;Western Europe;Spanish;625.0;59.0
45;El Correo Gallego;elcorreogallego.es;Spain;Western Europe;Spanish;648.0;58.5
46;El Periódico de Aragón;elperiodicodearagon.com;Spain;Western Europe;Spanish;648.0;58.5
47;El Día;eldia.es;Spain;Western Europe;Spanish;668.0;58.25
48;Diario de Córdoba;diariocordoba.com;Spain;Western Europe;Spanish;668.0;58.25
49;El Confidencial Digital;elconfidencialdigital.com;Spain;Western Europe;Spanish;668.0;58.25
50;El Periódico de Extremadura;elperiodicoextremadura.com;Spain;Western Europe;Spanish;686.0;58.0
51;La voz;lavozdigital.es;Spain;Western Europe;Spanish;781.0;56.75
52;Diario de león;diariodeleon.es;Spain;Western Europe;Spanish;781.0;56.75
53;Mediterráneo;elperiodicomediterraneo.com;Spain;Western Europe;Spanish;781.0;56.75
54;El Norte de Castilla;elnortedecastilla.es;Spain;Western Europe;Spanish;804.0;56.5
55;La Opinión de Málaga;laopiniondemalaga.es;Spain;Western Europe;Spanish;804.0;56.5
56;La Opinión de Zamora;laopiniondezamora.es;Spain;Western Europe;Spanish;804.0;56.5
57;Agencia Efe;efe.com;Spain;Western Europe;Spanish/English/Portuguese;873.0;55.75
58;El Progreso;elprogreso.es;Spain;Western Europe;Spanish;873.0;55.75
59;La Opinión A Coruña;laopinioncoruna.es;Spain;Western Europe;Spanish;873.0;55.75
60;Granada Hoy;granadahoy.com;Spain;Western Europe;Spanish;893.0;55.5
61;Huelva Información;huelvainformacion.es;Spain;Western Europe;Spanish;916.0;55.25
62;Diari de Tarragona;diaridetarragona.com;Spain;Western Europe;Spanish;935.0;55.0
63;El nacional;elnacional.cat;Spain;Western Europe;Spanish;993.0;54.5
64;La voz de asturias;lavozdeasturias.es;Spain;Western Europe;Spanish;993.0;54.5
65;El Independiente;elindependiente.com;Spain;Western Europe;Spanish;993.0;54.5
66;Diario de Navarra;diariodenavarra.es;Spain;Western Europe;Spanish;1029.0;54.0
67;La Crónica de Badajoz;lacronicadebadajoz.elperiodicoextremadura.com;Spain;Western Europe;Spanish;1029.0;54.0
68;La región;laregion.es;Spain;Western Europe;Spanish;1029.0;54.0
69;La Provincia;laprovincia.es;Spain;Western Europe;Spanish;1062.0;53.75
70;Málaga Hoy;malagahoy.es;Spain;Western Europe;Spanish;1062.0;53.75
71;Diario de Valladolid;diariodevalladolid.elmundo.es;Spain;Western Europe;Spanish;1123.0;53.0
72;La Opinión de Murcia;laopiniondemurcia.es;Spain;Western Europe;Spanish;1155.0;52.75
73;Voz Populi;vozpopuli.com;Spain;Western Europe;Spanish;1201.0;52.25
74;NIUS;niusdiario.es;Spain;Western Europe;Spanish;1201.0;52.25
75;El Debate;eldebate.com;Spain;Western Europe;Spanish;1226.0;52.0
76;Estrella Digital;estrelladigital.es;Spain;Western Europe;Spanish;1226.0;52.0
77;Madrid Diario;madridiario.es;Spain;Western Europe;Spanish;1226.0;52.0
78;Diario Qué;que.es;Spain;Western Europe;Spanish;1226.0;52.0
79;Diario de Burgos;diariodeburgos.es;Spain;Western Europe;Spanish;1226.0;52.0
80;Diario siglo xxi;diariosigloxxi.com;Spain;Western Europe;Spanish;1257.0;51.75
81;Diario de Pontevedra;diariodepontevedra.es;Spain;Western Europe;Spanish;1304.0;51.25
82;La Gaceta de Salamanca;lagacetadesalamanca.es;Spain;Western Europe;Spanish;1304.0;51.25
83;Diario de Almería;diariodealmeria.es;Spain;Western Europe;Spanish;1330.0;51.0
84;Noticias de gipuzkoa;noticiasdegipuzkoa.eus;Spain;Western Europe;Spanish;1376.0;50.5
85;Diario de jerez;diariodejerez.es;Spain;Western Europe;Spanish;1376.0;50.5
86;Atlántico;atlantico.net;Spain;Western Europe;Spanish;1408.0;50.25
87;Diario de Jaén;diariojaen.es;Spain;Western Europe;Spanish;1429.0;50.0
88;Lanza;lanzadigital.com;Spain;Western Europe;Spanish;1429.0;50.0
89;La Voz de Almería;lavozdealmeria.com;Spain;Western Europe;Spanish;1429.0;50.0
90;Infolibre;infolibre.es;Spain;Western Europe;Spanish;1455.0;49.75
91;El Día de Córdoba;eldiadecordoba.es;Spain;Western Europe;Spanish;1474.0;49.5
